subject_code,subject_name
CDI2,TRAFFIC MANAGEMENT & ACCIDENT INVESTIGATION WITH DRIVING
CDI2,TRAFFIC MANAGEMENT & ACCIDENT INVESTIGATION WITH DRIVING
CDI 3,SPECIALIZED CRIME INVESTIGATION 1 WITH LEGAL MEDICINE
CDI 3,SPECIALIZED CRIME INVESTIGATION 1 WITH LEGAL MEDICINE
PATHFit 4,OUTDOOR AND ADVENTURE ACTIVITIES
CLJ 3,CRIMINAL LAW (BOOK 1)
CLJ 3,CRIMINAL LAW (BOOK 1)
CRIMIN 2,PERSONAL IDENTIFICATION TECHNIQUES
GEE 103,READING VISUAL ARTS
GEE 103,READING VISUAL ARTS
EGE 1,ELECTIVE 2
EGE 1,ELECTIVE 2
PATHFit 4,Marksmanship
FS 5,Intro to Security Administration & Mngmt
FS 5,Intro to Security Administration & Mngmt
FS2,Personnel Security
IS2,"BASIC OCCUPATIONAL SAFETY, HEALTH, AND ENVIRONMENTAL PROTECTION"
IS2,"BASIC OCCUPATIONAL SAFETY, HEALTH, AND ENVIRONMENTAL PROTECTION"
GEE 103,READING VISUAL ARTS
GEE 103,READING VISUAL ARTS
MN 2,Intro to Forensic Science
MN 2,Intro to Forensic Science
CDI 8,TECHNICAL ENGLISH 2
CDI 8,TECHNICAL ENGLISH 2
CDI7,"VICE DRUG, PREVENTION & CONTROL"
CDI7,"VICE DRUG, PREVENTION & CONTROL"
CRIMIN 5,LIE DETECTION TECHNIQUES
CRIMIN 5,LIE DETECTION TECHNIQUES
CORR 2,NON-INSTITUTIONAL CORRECTION
CORR 2,NON-INSTITUTIONAL CORRECTION
CDI 9,ENVIRONMENTAL LAWS AND PROTECTION
CDI 9,ENVIRONMENTAL LAWS AND PROTECTION
EDPCK 1,METHODS OF TEACHING
EDPCK 1,METHODS OF TEACHING
CF 2,CHARACTER FORMATION 2
CF 2,CHARACTER FORMATION 2
CRISOC 7,CRIMINOLOGICAL RESEARCH 1
CDI 8,TECHNICAL ENGLISH 2
CDI 8,TECHNICAL ENGLISH 2
CDI7,"VICE DRUG, PREVENTION & CONTROL"
CDI7,"VICE DRUG, PREVENTION & CONTROL"
CRISOC 7,CRIMINOLOGICAL RESEARCH 1
CRISOC 7,CRIMINOLOGICAL RESEARCH 1
CORR 2,NON-INSTITUTIONAL CORRECTION
CORR 2,NON-INSTITUTIONAL CORRECTION
CDI 9,ENVIRONMENTAL LAWS AND PROTECTION
CDI 9,ENVIRONMENTAL LAWS AND PROTECTION
EDPCK 1,METHODS OF TEACHING
EDPCK 1,METHODS OF TEACHING
CF 2,CHARACTER FORMATION 2
CF 2,CHARACTER FORMATION 2
IS 12,Crime Prevention and Detection & Control
CLJ 5,EVIDENCE
CDI 8,TECHNICAL ENGLISH 2
CDI 8,TECHNICAL ENGLISH 2
CDI7,"VICE DRUG, PREVENTION & CONTROL"
